protocol_id,prot_category
01-M-0185,M
01-M-0232,M
02-M-0239,M
03-M-0093,M
03-M-0108,M
05-M-0105,M
06-M-0065,M
06-M-0102,M
08-M-0211,M
09-M-0034,M
09-M-0171,M
09-M-0176,M
10-M-0068,M
11-M-0058,M
11-M-0104,M
13-M-0004,M
14-M-0085,M
15-M-0151,M
15-M-0188,M
89-M-0160,M
00-N-0043,N
00-N-0089,N
00-N-0140,N
02-N-0128,N
04-N-0071,N
07-N-0063,N
07-N-0072,N
07-N-0122,N
08-N-0027,N
08-N-0044,N
08-N-0161,N
08-N-0215,N
09-N-0117,N
09-N-0118,N
09-N-0182,N
10-N-0121,N
10-N-0122,N
10-N-0212,N
11-N-0116,N
11-N-0182,N
12-N-0033,N
12-N-0123,N
13-N-0047,N
13-N-0104,N
13-N-0115,N
13-N-0135,N
14-N-0069,N
14-N-0083,N
16-N-0064,N
16-N-0072,N
16-N-0170,N
93-N-0202,N
